,,,,,,,,,,
PlanNav – Master Question Table (Machine-Readable Flat Export),,,,,,,,,,
question_id,question_set,question_set_label,question_text,legal_clause,clause_meaning,routing_logic,outcome_type,stop_flag,triggers_set,guidance_text
LG1,LG,Location Gateway,"Is your property a listed building, officially recognised for its special architectural or historic interest?","Planning (Listed Buildings and Conservation Areas) Act 1990, ss.7 & 9",Any works affecting a listed building require Listed Building Consent; PD rights do not apply.,If Yes → your project will need special consent and cannot rely on standard permitted development rights. If No → you can continue with normal planning rules.,STOP,YES,,"Permitted Development rights do not apply to listed buildings. Any works will require Listed Building Consent and possibly planning permission, regardless of scale or type."
LG2,LG,Location Gateway,"Is your property located in a conservation area, which is a special area recognised for its character or history?","Planning (Listed Buildings and Conservation Areas) Act 1990, ss.69 & 72",Works affecting conservation areas may require planning permission; PD rights are restricted.,"If Yes → some works may need full planning permission, and additional checks may apply. If No → standard planning rules apply.",STOP,YES,,"Permitted Development rights are more limited in conservation areas. Some works may still be allowed, but additional restrictions apply. A Lawful Development Certificate can confirm whether PD applies."
LG3,LG,Location Gateway,Has your property been specifically restricted by your local council so that some standard planning rights no longer apply? (Article 4),"GPDO 2015, Article 4",Local authorities can withdraw specific PD rights in defined areas; works that would normally be PD may require permission.,If Yes → some types of work that are normally allowed will require planning permission. If No → you can continue with normal permitted development rules.,STOP,YES,,An Article 4 Direction removes specific Permitted Development rights. Even minor works may need planning permission. Check the scope of the direction or confirm via a Lawful Development Certificate (LDC).
LG4,LG,Location Gateway,"Is your property located within a protected area, such as a National Park, Area of Outstanding Natural Beauty, or World Heritage Site?","GPDO 2015, Schedule 2, Part 1, Article 2(3)","PD rights are restricted on designated land (National Parks, AONB, WHS); extra conditions apply.",If Yes → extra limits apply and some work may require full planning permission. If No → normal planning rules apply.,STOP,YES,,"Permitted Development rights are more restricted on designated land. Some development may still be possible, but tighter limits apply and planning permission is more likely. An LDC can help confirm."
PG1,PG,About Your Project,Are you planning to build a completely new house on this site?,GPDO 2015 does not permit new dwellings,New dwellings are not PD; full planning permission required.,If Yes → full planning permission likely required. If No → next question,STOP,YES,,Permitted Development rights do not apply to new dwellings. Full planning permission will be required.
PG2,PG,About Your Project,Are you planning to replace an existing house with a new one?,GPDO 2015 does not permit replacement dwellings with footprint changes,PD does not allow replacement if footprint changes; planning permission required.,If Yes → planning permission required if footprint/layout changes. If No → next question,STOP,YES,,Permitted Development rights do not apply if footprint or layout changes. Planning permission required.
PG3,PG,About Your Project,Will you be adding extensions or additional buildings to the existing property?,"GPDO 2015, Schedule 2, Part 1, Classes A, AA","Extensions and alterations may be PD subject to size limits, conditions, and exceptions.","If Yes → Permitted Development may apply, some checks needed. If No → next question",BRANCH → PT1–PT9,NO,"PT1–PT18, T1–T5",
PG4,PG,About Your Project,"Will you be converting the property or changing its use (e.g., residential to commercial or flats)?","GPDO 2015, Schedule 2, Part 3","Certain change-of-use classes may be PD, subject to conditions and limits.","If Yes → planning permission may be needed, check PD rules. If No → next question",BRANCH → PT10–PT16,NO,"PT10–PT16, T1–T5",
PG5,PG,About Your Project,"Will your project involve demolishing an existing building or carrying out site works like fences, walls, gates, or driveways?","GPDO 2015, Schedule 2, Part 2 & 11",Minor works may be PD; demolition often requires planning permission and may be restricted in conservation areas.,If Yes → planning permission may be required; check building control. If No → next question,BRANCH → PT17–PT18,NO,"PT17–PT18, T1–T5",
PT1,PT,Project Type,Are you planning a loft extension?,"GPDO 2015, Schedule 2, Part 1, Class A","Enlargement, improvement, or alteration of dwellinghouse; max 40m³ in conservation areas, 50m³ elsewhere.","If Yes → Permitted Development may apply, building control needed. If No → next question",BRANCH → PS1,NO,PS1 (QS),
