Rules & Guidance,,Miro Board,,,,,,,
,,,,,,,,,
Reference,Original Statement,Clause Reference,Clause Text,New Question,Yes Logic/Result,Stop,Guidance,Trigger Questions,John's Notes
Key Planning Considerations,,,,,,,,,
LG1,The property is a listed building. Listed Building Consent required for any works. Permitted Development does not apply.,"Planning (Listed Buildings and Conservation Areas) Act 1990, ss.7 & 9",Any works affecting a listed building require Listed Building Consent; PD rights do not apply.,"Is your property a listed building, officially recognised for its special architectural or historic interest?",If Yes ? your project will need special consent and cannot rely on standard permitted development rights. If No ? you can continue with normal planning rules.,Yes,"Permitted Development rights do not apply to listed buildings. Any works will require Listed Building Consent and possibly planning permission, regardless of scale or type.",,Johns notes in this column…
LG2,The property is in a conservation area. Demolition and many extensions require planning permission; check for Article 4 directions. LDC can clarify.,"Planning (Listed Buildings and Conservation Areas) Act 1990, ss.69 & 72",Works affecting conservation areas may require planning permission; PD rights are restricted.,"Is your property located in a conservation area, which is a special area recognised for its character or history?","If Yes ? some works may need full planning permission, and additional checks may apply. If No ? standard planning rules apply.",Yes,"Permitted Development rights are more limited in conservation areas. Some works may still be allowed, but additional restrictions apply. A Lawful Development Certificate can confirm whether PD applies.",,
LG3,"The property is covered by an Article 4 Direction. Some or all Permitted Development rights withdrawn; usually affects extensions, outbuildings, HMOs. LDC can clarify.","GPDO 2015, Article 4",Local authorities can withdraw specific PD rights in defined areas; works that would normally be PD may require permission.,Has your property been specifically restricted by your local council so that some standard planning rights no longer apply? (Article 4),If Yes ? some types of work that are normally allowed will require planning permission. If No ? you can continue with normal permitted development rules.,Yes,An Article 4 Direction removes specific Permitted Development rights. Even minor works may need planning permission. Check the scope of the direction or confirm via an Lawful Development Certficate (LDC).,,
LG4,"The property is on designated land (AONB, National Park, WHS). Additional limits apply to extensions, outbuildings, roof works. LDC can clarify.","GPDO 2015, Schedule 2, Part 1, Article 2(3)","PD rights are restricted on designated land (National Parks, AONB, WHS); extra conditions apply.","Is your property located within a protected area, such as a National Park, Area of Outstanding Natural Beauty, or World Heritage Site?",If Yes ? extra limits apply and some work may require full planning permission. If No ? normal planning rules apply.,Yes,"Permitted Development rights are more restricted on designated land. Some development may still be possible, but tighter limits apply and planning permission is more likely. An Lawful Development Certficate (LDC) can help confirm.",,
About Your Project,,,,,,,,,
PG1,The project is a completely new dwelling. Full planning permission likely required; optional Outline ? Reserved Matters.,GPDO 2015 does not permit new dwellings,New dwellings are not PD; full planning permission required.,Are you planning to build a completely new house on this site?,If Yes ? full planning permission likely required.,Yes,Permitted Development rights do not apply to new dwellings. Full planning permission will be required.,,
PG2,The project replaces an existing dwelling. Planning permission required if footprint/layout changes.,GPDO 2015 does not permit replacement dwellings with footprint changes,PD does not allow replacement if footprint changes; planning permission required.,Are you planning to replace an existing house with a new one?,If Yes ? planning permission required if footprint/layout changes.,Yes,Permitted Development rights do not apply if footprint or layout changes. Planning permission required.,,
PG3,The project includes extensions or additions to the property.,"GPDO 2015, Schedule 2, Part 1, Classes A, AA","Extensions and alterations may be PD subject to size limits, conditions, and exceptions.",Will you be adding extensions or additional buildings to the existing property?,"If Yes ? Permitted Development may apply, some checks needed.",,,"PT1–PT18, T1–T5",
PG4,The project involves converting or changing the use of the property.,"GPDO 2015, Schedule 2, Part 3","Certain change-of-use classes (e.g., commercial-to-residential, dwelling to HMO) may be PD, subject to conditions and limits.","Will you be converting the property or changing its use (e.g., residential to commercial or flats)?","If Yes ? planning permission may be needed, check PD rules.",,,"PT10–PT16, T1–T5",
PG5,"The project involves demolishing a building or doing other site works (fences, walls, gates, driveways).","GPDO 2015, Schedule 2, Part 2 & 11","Minor works (fences, walls, gates) may be PD; demolition often requires planning permission and may be restricted in conservation areas.","Will your project involve demolishing an existing building or carrying out site works like fences, walls, gates, or driveways?",If Yes ? planning permission may be required; check building control.,,,"PT17–PT18, T1–T5",
Extensions & Additions,,,,,,,,,
PT1,The project includes a loft extension. Permitted Development may apply if within limits; Building Control required. Consider LDC to confirm.,"GPDO 2015, Schedule 2, Part 1, Class A","Enlargement, improvement, or alteration of dwellinghouse; max 40m³ in conservation areas, 50m³ elsewhere.",Are you planning a loft extension?,"If Yes ? PD may apply, building control needed.",,,PS1 (QS),
PT2,The project includes a single-storey extension. Permitted Development may apply; Building Control required. Consider LDC to confirm.,"GPDO 2015, Schedule 2, Part 1, Class A","Single-storey extension; max 4m for detached, 3m for others; max 50% of curtilage coverage; PD conditions apply.",Are you planning a single-storey extension?,"If Yes ? PD may apply, building control needed.",,,PS2 (QS),
PT3,The project includes a multi-storey extension. Planning permission required; Building Control required.,"GPDO 2015, Schedule 2, Part 1, Class A / AA",Multi-storey extensions often require permission unless within strict size/height limits; PD restrictions apply.,Are you planning a multi-storey extension?,"If Yes ? planning permission required, building control needed.",Yes,"Multi-storey extensions usually cannot be done under permitted development. You will need full planning permission, and Building Control approval is required to ensure the structure is safe. Professional advice is strongly recommended before starting.",—,
